featureid	rab.all	rab.win.2.asymptomatic	rab.win.4.severe	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae	-0.793490616524442	-1.53681925009052	0.317054828393654	2.508423625377	6.92488245374976	0.361098783943931	0.356306914139464	0.175422035836694	0.419117548803072	0.236372703052059	0.476898491673839
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae	0.875172297976155	-0.96511637278735	3.25721462208915	3.41752404308599	5.71128346915063	0.5567059183615	0.274739623263905	0.0895679745631558	0.280895221995192	0.0481510466358696	0.208511223514045
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae	-0.933925166677311	-0.366716565644308	-1.21757428323967	-1.4497428619638	5.99049504598931	-0.230343157225057	0.401820560553915	0.374754381219411	0.614834270273925	0.449903902805328	0.678633791303326
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae	-1.36417281160881	-1.57588432219616	-1.20351242068573	0.504698620102917	5.08180496168247	0.0692014129159899	0.463541671845216	0.550279624872454	0.762685898651335	0.548569582185101	0.7625463633065
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__	-1.75152894185337	-1.86525470131425	-1.70345711323475	-0.132792417654819	5.20884879575773	-0.024645787343163	0.482444735896929	0.556006642243465	0.762520054254142	0.542601679086233	0.760301194647833
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__mitochondria	-1.61828301076487	-1.37597768227173	-1.81158542009121	-0.715475343731035	4.94321001594921	-0.124531112577038	0.44473342791038	0.529630736000378	0.716649851273277	0.517451059591237	0.726123558933365
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae	-1.65385024977959	-1.9463318071818	-1.43944804260255	0.715736426268896	4.51630829848981	0.135392317847804	0.42912874881337	0.446295772141464	0.671706050938055	0.462612115491036	0.685343622207286
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae	4.65563472189823	3.66913659772638	5.54038395412423	1.61256187631193	6.78051391056577	0.22515960703471	0.356306914139464	0.500453259936064	0.752371129131255	0.233772395671289	0.537968034147955
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__;f__	-1.61673972663224	-1.81743824132326	-1.4278348514282	0.58436183062318	4.84323073572623	0.0970077128287097	0.434895842690214	0.481839067719635	0.705243330919709	0.498752599856172	0.727884473492737
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae	-0.00822856361045776	-1.40657676968154	2.30387311545502	3.21874885627989	6.61368899727759	0.42324452326244	0.319895997954499	0.284816248284462	0.55366165749574	0.16106055467132	0.393932756430375
