featureid	rab.all	rab.win.1.negative	rab.win.4.severe	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	1.59112545141448	-0.672791669171407	11.6544337717633	11.449199863276	7.50978892294306	1.23503123570706	0.112304764765614	5.0584820514461e-05	0.000248459196009724	9.93066087803211e-06	7.05313656990944e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	8.27543300953868	8.91917174912122	3.15635495018076	-5.56309537799271	6.37143370522247	-0.835164919888996	0.173658581680224	0.00251087654564017	0.0100637255174904	0.000265333447275245	0.00129608936455757
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae	-1.27593280295655	-1.50809027249094	-0.885190838582844	0.505016261764522	5.45413361183685	0.0844709687082401	0.448242191657894	0.520275508907663	0.652857732828859	0.432877682229482	0.56436370038382
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	11.4744062376816	11.9184290401098	8.66362004591956	-3.22917867084256	5.17445339829801	-0.574507406539919	0.244878076138944	0.0106983619022111	0.035964661478877	0.00481843442757947	0.0175168118329849
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae	-1.58262397684754	-1.80687527826297	-1.21607551749381	0.645304639543941	4.25801694373065	0.137508161106971	0.433170737104489	0.455689921770765	0.573834947503684	0.429664528746651	0.544341074462332
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__	6.27834680918163	7.804117788402	-0.191599631827771	-7.52504305199631	5.04170624440741	-1.23163358933037	0.135609817739467	0.000116956365382332	0.00066259622827336	5.94420056515254e-05	0.000337763254634483
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	1.40547430033553	-0.9820604985281	10.2099809416652	10.6791322871043	7.05815202544747	1.2421509245086	0.106445394708133	7.58049847160988e-05	0.000366182758001719	1.238490299641e-05	8.38131201077924e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	8.08565308045021	9.24590768883963	0.063276631260555	-8.9353977545068	4.90442496719731	-1.67376764667606	0.0878907271362086	9.80740849859111e-06	7.43012647988027e-05	1.57020364552612e-06	1.76226334628273e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae	-0.723741971761372	-0.313156874381236	-1.18243840429651	-1.64017760396988	5.70090684826944	-0.254140157122903	0.393554696361118	0.275963845470145	0.389190401977596	0.342697794984382	0.451443528601803
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae	2.73546960999672	6.11913775208967	-0.490169030921336	-5.70741672032936	5.63072388402935	-0.918341455329687	0.185365894975084	0.00120400846190219	0.00465290831255938	0.000795107391992569	0.00331874213547597
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	-1.2696000067446	-1.65692285838228	-0.57981017412944	1.19977953008827	4.85219651050061	0.232128372894988	0.393554696361118	0.320229563458183	0.448778660398962	0.338950373712051	0.458252119967501
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae	10.7940211403466	11.8989080332103	6.90577718966613	-4.72111724301181	3.99227943282522	-0.998151878208045	0.166992235062801	0.000545748406845833	0.00258475763704902	0.000238017848953925	0.00118555580336128
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Acidaminobacteraceae]	-1.41190182792166	-1.55026483647629	-1.20455161990229	0.253568969824004	4.6687096424206	0.052692681198515	0.476562501866746	0.550616911617879	0.672106716429424	0.545972033931561	0.66427913376033
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae]	3.91305970263472	6.45056089908725	-0.638380583051692	-6.64783908069585	4.30496247983752	-1.41757349939371	0.0917969722797219	2.9190273094966e-05	0.000168426717182653	3.13299687538324e-06	2.85005891771769e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae]	5.08294605257036	4.93871931493715	5.17890088042276	0.141629247407745	6.69892368725958	0.0189041400148321	0.484375001242977	0.567675913541478	0.704561905551407	0.714851579758536	0.818894711225621
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae	4.65577208685352	6.3496405736506	-0.759715496472864	-6.85626833082958	4.71094905705032	-1.20959595109457	0.127804944258171	0.000119185176239878	0.000612718918647558	2.75412172800121e-05	0.000172720295947317
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae	9.61500146458467	11.6042506114577	1.16632352669618	-9.79740908694348	5.5226834336401	-1.55497235788243	0.0741464644722655	1.72252230384346e-06	1.47250059005102e-05	3.04492919465616e-07	6.39315987364883e-06
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae	6.74980965101719	8.87503877347106	-0.278348280300355	-8.90033734107233	5.09943351231781	-1.56776617239812	0.0936586315060959	8.68957515915688e-06	5.64556665855921e-05	3.53618260594658e-06	3.08503849634691e-05
k__Bacteria;p__Gemmatimonadetes;c__Gemm-3;o__;f__	-1.57286558518999	-1.76112618488029	-1.28145364520743	0.650338760086003	4.22175695478585	0.14378855575937	0.438048785478254	0.453062340781388	0.58329514992939	0.454631844828686	0.574455579920191
k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__WD2101;f__	-1.56875797920481	-1.73372953589545	-1.32677087590049	0.492953840803051	4.31106208984665	0.0945614347314351	0.448780491910583	0.456876207884026	0.581212429182196	0.460125620636557	0.580251825347439
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__BD7-3;f__	-1.58721382909771	-2.02234045918232	-0.854121980969342	1.08852569258493	4.32762050710464	0.237725782948477	0.377929697816164	0.338534334869255	0.445202037363226	0.288358404490515	0.397732220749673
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae	-1.13718275155051	-1.4745712000573	-0.602601754287004	0.767436601111206	4.77408867161721	0.140278079203124	0.428710943283105	0.512237028417749	0.638039451742662	0.452518132486427	0.572895502863519
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__	-1.03968251450926	-1.74161419850497	1.50795322072935	4.07442999980426	5.6752320413484	0.623606904534123	0.267578148562625	0.0376390631863204	0.0832696134485794	0.0282241226352316	0.0675637297319123
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Aurantimonadaceae	-1.6725807011243	-2.08188002914249	-0.9156167226714	1.1439096196206	4.43301594409694	0.238393974095718	0.375000010596377	0.330140635129281	0.44437633332848	0.297512027093175	0.404881389567678
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae	-1.31822644470797	-1.53026619632253	-0.945054761262242	0.676632473057448	4.38987245437105	0.127982848369084	0.427734380865684	0.403850080875727	0.532216626378842	0.402820362358823	0.531892363148732
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae	-1.50224411783699	-1.63006423799308	-1.35655892579094	0.199021607709114	4.2053167392723	0.0400559132292989	0.480468751554576	0.463955238201119	0.588680976078722	0.499393724327152	0.615980538244568
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Brucellaceae	-1.60214934362662	-2.14215822702037	-0.694861820200946	1.57586045414346	4.43042180950371	0.301498978415072	0.360351574537242	0.253107445638458	0.365468443110371	0.209272955064919	0.319855943551623
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae	-1.18818021159004	-1.65750889333482	-0.360061982749063	1.6015579800561	5.72966695127758	0.270199096339722	0.364878060342459	0.189383821064643	0.298514401635208	0.267161485724796	0.378770939415363
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae	-0.997916109101561	-1.59076819613616	0.559618274592925	2.4370930236249	5.02316892961163	0.441522261460148	0.301463433329237	0.139349481178175	0.228386221500433	0.113537437534919	0.190750069943764
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylocystaceae	-1.63271336899008	-1.78269603175692	-1.24854774037374	0.472586031793304	4.47333489115364	0.0797714171630922	0.44585366288232	0.468969456563618	0.595854335995746	0.484657864330495	0.601641535380822
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae	-1.09315495675801	-1.7928788307228	0.914979052966027	3.7307247211367	6.45472659247922	0.549699873136469	0.270507835606067	0.0327446068691471	0.0763100608812393	0.0491420794202135	0.0972808020002432
