featureid	rab.all	rab.win.1.negative	rab.win.2.asymptomatic	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae	7.81743450175009	8.28872687778816	2.05633296100203	-5.4016789473453	5.75943054728627	-0.793092903740846	0.203125064782185	0.00609054088731222	0.0336368450875372	0.00246319686509455	0.0138307575938471
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	-0.898452736889736	-0.85571955088301	-0.957972728763908	0.0421799678863604	8.63435347800672	0.00348628875824274	0.498697916850633	0.705770528065796	0.84387597941634	0.610186004731797	0.765041864560649
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	8.49681620168318	8.77896411396032	8.02978968069601	-1.04036984914141	3.0284926788374	-0.236612751023182	0.328998726898881	0.188509378896161	0.403568013080255	0.0976136455461474	0.262015945950224
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae	-1.41929811476671	-1.66266174055372	-0.854005596869591	0.865662119776217	5.65865920069104	0.149227154879519	0.423177094449683	0.486730403139165	0.658671552871775	0.444424668056778	0.610079488475763
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	11.676655823207	11.7355520693352	11.4851686586633	-0.529718532962529	2.39260113307053	-0.172356168888013	0.408322510117449	0.322675411137031	0.562137691018644	0.310222357181125	0.542541740829957
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae	-1.86103441856225	-2.00223793017085	-1.42517792459674	0.611250865578929	4.23336067995734	0.130564874821338	0.434895842690214	0.500043400798229	0.656017099936167	0.508348685623374	0.651774928862521
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__	6.73102053471556	7.62300162351761	-0.475804269945727	-7.53898553780415	5.86243457086911	-1.02383227458787	0.147135515988718	0.000999409142224134	0.00841577789221211	0.000321637278238094	0.00293438118426326
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	-1.13516791906691	-1.2332482767543	-0.962594966110247	0.0448612833850213	8.13483807393967	0.00340190197116185	0.496749025165552	0.673506462296295	0.819051981286989	0.577717452532227	0.737624215643085
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	8.45933655916932	9.09230024082147	1.05209641618313	-7.18069978193081	5.26824524854386	-1.25096507314059	0.125000121100964	0.000583142690310899	0.00577303479977483	5.16016163078e-05	0.000937426069487591
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae	-0.903504589342728	-0.690617809738919	-1.2403732232525	-1.18586043684904	6.00387883538482	-0.18516014297984	0.421875011314114	0.483275558135884	0.655336108166083	0.494256263547013	0.652884583899594
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae	4.16397469199363	5.95671900106721	-0.278688730935927	-5.55111359181099	5.70050627390107	-0.808169001355768	0.184895907183131	0.00764206413587788	0.035209401989297	0.00297026879210342	0.015575814948197
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	-1.76103340872449	-1.85445449228391	-1.51759056962286	0.166787089516097	4.41248013122863	0.0346626974343326	0.481770835912269	0.518417747111796	0.669431187340743	0.53363917648922	0.682335808500917
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae	11.17369480441	11.7862064114674	7.29493098496032	-4.24750905150294	5.36116786024793	-0.760301707310727	0.183355081001166	0.00811805507244579	0.0414944669137679	0.00120426747126692	0.00800651406070438
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Acidaminobacteraceae]	-1.7398546727324	-1.76836637827973	-1.67133636331148	-0.0872920065873615	4.64924040476914	-0.0125171953048351	0.490247075497121	0.502442742521018	0.668951044858037	0.535548546450592	0.698555292558504
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae]	4.59133924955998	6.32001533244303	-0.866553392497971	-6.60011019225298	4.5914531221016	-1.28864714995637	0.0832251599266124	0.000235171013687748	0.00303967143924411	1.48327654197179e-05	0.000563717938564444
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae]	6.53522347594789	4.73139374556698	7.99137737658497	3.74581544987059	6.99583234212559	0.492383009380756	0.281250038222012	0.0455022489532362	0.14239518918113	0.0365360180029989	0.128250706744861
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae	4.95257692239235	6.16914085016356	-0.810278342471968	-6.49541947101233	4.72341201848066	-1.19040025445837	0.115885549087877	0.000554671179354121	0.00487195562513529	5.65083845692976e-05	0.000986099379770745
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae	10.509122839808	11.3776745940945	2.75741915327825	-8.13869531343823	6.82979648828057	-1.02732969170913	0.124837572208808	0.000778560912785454	0.00731522338878123	0.000114970861405669	0.00147777085169151
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae	7.77419420968041	8.69039605682622	1.389447732658	-6.29220167641689	6.56949687101936	-0.823178494137247	0.202860922991527	0.00559938365116197	0.0313520975052818	0.00263083695417728	0.0147131711975566
k__Bacteria;p__Gemmatimonadetes;c__Gemm-3;o__;f__	-1.87516808504159	-2.02456310124368	-1.50643984021738	0.588322856163672	4.14652367365796	0.129323901266335	0.439531868205379	0.490457869056852	0.644690281224293	0.482959364770271	0.632919946948087
